rowNumber,name,business,domain,mxFound,email,source,confidence,verified,sourceUrl,error
2,Jane Smith,OpenAI,openai.com,true,jane@openai.com,pattern-guessing,0.38,false,,
2,Jane Smith,OpenAI,openai.com,true,jane.smith@openai.com,pattern-guessing,0.38,false,,
2,Jane Smith,OpenAI,openai.com,true,janesmith@openai.com,pattern-guessing,0.38,false,,
2,Jane Smith,OpenAI,openai.com,true,jane_smith@openai.com,pattern-guessing,0.38,false,,
2,Jane Smith,OpenAI,openai.com,true,jsmith@openai.com,pattern-guessing,0.38,false,,
2,Jane Smith,OpenAI,openai.com,true,j.smith@openai.com,pattern-guessing,0.38,false,,
2,Jane Smith,OpenAI,openai.com,true,janes@openai.com,pattern-guessing,0.38,false,,
3,Sam Altman,OpenAI,openai.com,true,sam@openai.com,pattern-guessing,0.38,false,,
3,Sam Altman,OpenAI,openai.com,true,sam.altman@openai.com,pattern-guessing,0.38,false,,
3,Sam Altman,OpenAI,openai.com,true,samaltman@openai.com,pattern-guessing,0.38,false,,
3,Sam Altman,OpenAI,openai.com,true,sam_altman@openai.com,pattern-guessing,0.38,false,,
3,Sam Altman,OpenAI,openai.com,true,saltman@openai.com,pattern-guessing,0.38,false,,
3,Sam Altman,OpenAI,openai.com,true,s.altman@openai.com,pattern-guessing,0.38,false,,
3,Sam Altman,OpenAI,openai.com,true,sama@openai.com,pattern-guessing,0.38,false,,
